epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,14085.7,0.52775,0.8698,0.40722,0.93208,0,0.95002,0.816,0.9069,0.7821,0.90473,0.77324,0.82988,0.66839,0.51108,0.78713,0.3641,0.86572,0,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,14240,0.53108,0.87675,0.40796,0.93126,0,0.9408,0.82156,0.90739,0.78229,0.90959,0.7674,0.82635,0.66715,0.51222,0.79023,0.36356,0.86915,0,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,14392.3,0.52567,0.85717,0.40227,0.93001,0,0.94201,0.81923,0.9065,0.78316,0.90679,0.76939,0.82895,0.67018,0.51292,0.77952,0.36443,0.86582,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,14544.9,0.52892,0.85903,0.40259,0.93183,0,0.93916,0.82281,0.90726,0.78198,0.90614,0.77217,0.82954,0.66925,0.51384,0.79602,0.36269,0.86539,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14697.7,0.52627,0.86202,0.40087,0.92861,0,0.94238,0.82066,0.90627,0.78104,0.90589,0.77134,0.82669,0.67003,0.52151,0.78978,0.36372,0.87419,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14852.2,0.52587,0.86284,0.401,0.92956,0,0.93249,0.83572,0.90709,0.78229,0.90898,0.77116,0.82615,0.66977,0.51502,0.78991,0.36,0.8684,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,15004.7,0.51978,0.84592,0.39521,0.92613,0,0.94049,0.82484,0.90563,0.7825,0.91122,0.76811,0.82658,0.6698,0.51428,0.78892,0.35905,0.86645,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,15157.3,0.51037,0.82948,0.38841,0.92384,0,0.94637,0.81618,0.90507,0.78276,0.91539,0.76837,0.82716,0.66943,0.51298,0.78966,0.35376,0.86576,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,15309.1,0.50988,0.8312,0.38524,0.92453,0,0.93262,0.82902,0.90445,0.7828,0.91955,0.7646,0.82786,0.67033,0.50792,0.79343,0.35194,0.86584,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15459.7,0.51185,0.82962,0.38483,0.92441,0,0.94239,0.82441,0.90649,0.78278,0.9096,0.77237,0.82671,0.66793,0.51488,0.78682,0.35473,0.8688,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15615.4,0.50904,0.83029,0.3864,0.92422,0,0.94042,0.81797,0.90514,0.78214,0.9089,0.7694,0.82791,0.66945,0.51999,0.79694,0.35814,0.87065,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15767.8,0.50515,0.81181,0.38035,0.92214,0,0.93868,0.82904,0.90552,0.78193,0.90257,0.77749,0.82736,0.66891,0.51892,0.79492,0.35845,0.8674,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15922,0.50565,0.82114,0.37981,0.92101,0,0.93671,0.82927,0.90657,0.7826,0.90636,0.77529,0.82709,0.66827,0.51719,0.79825,0.35843,0.86713,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16075.3,0.49661,0.80653,0.37505,0.91772,0,0.936,0.82885,0.90555,0.7821,0.90235,0.77493,0.82745,0.67088,0.51943,0.79651,0.35577,0.86858,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16228,0.49774,0.80906,0.37509,0.91818,0,0.93544,0.8273,0.9048,0.782,0.90128,0.77457,0.82973,0.6699,0.52029,0.8035,0.35723,0.86882,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16379.9,0.50273,0.8087,0.37565,0.9206,0,0.93805,0.83091,0.90497,0.78246,0.90046,0.77712,0.82967,0.67251,0.51913,0.80322,0.35725,0.86904,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16535.4,0.49289,0.80065,0.36992,0.91656,0,0.94088,0.82769,0.9072,0.7843,0.91245,0.77044,0.82868,0.67359,0.51651,0.80171,0.35352,0.87033,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16691.3,0.49043,0.79591,0.36567,0.91554,0,0.94047,0.83196,0.9065,0.78305,0.91293,0.77094,0.82891,0.67242,0.5147,0.80357,0.35059,0.87148,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16844.4,0.4856,0.78351,0.36164,0.91449,0,0.93878,0.8316,0.9052,0.78276,0.91053,0.77385,0.82942,0.67214,0.5149,0.80487,0.35145,0.87173,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16999.9,0.4895,0.8025,0.36575,0.9156,0,0.94289,0.82622,0.90388,0.78245,0.90872,0.77475,0.8269,0.67072,0.51519,0.80086,0.35092,0.87018,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,17153.5,0.48873,0.78606,0.36236,0.91437,0,0.94422,0.82496,0.90466,0.78179,0.91645,0.77188,0.83096,0.67259,0.51255,0.79771,0.34766,0.8695,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,17308.3,0.48342,0.78918,0.35971,0.91309,0,0.94392,0.82783,0.90415,0.78099,0.90758,0.77529,0.82793,0.67328,0.51166,0.79169,0.35013,0.86905,0,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,17463.8,0.48099,0.77966,0.35725,0.91189,0,0.942,0.83009,0.90524,0.78232,0.91119,0.77403,0.83039,0.67323,0.51077,0.79818,0.3508,0.8699,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17619.3,0.48045,0.77183,0.35525,0.91185,0,0.94208,0.82712,0.90484,0.78094,0.9106,0.77439,0.83015,0.67284,0.51235,0.80121,0.35077,0.87147,0,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17772.3,0.47485,0.76192,0.35045,0.90965,0,0.94109,0.83196,0.9057,0.78304,0.91049,0.77346,0.82978,0.67471,0.51159,0.80924,0.35023,0.87012,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17925.7,0.47482,0.75808,0.34906,0.90832,0,0.94046,0.82945,0.90557,0.78285,0.90948,0.776,0.8303,0.67581,0.51145,0.81157,0.34924,0.87021,0,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,18079.9,0.47055,0.75688,0.34702,0.9086,0,0.94208,0.83134,0.90558,0.78357,0.91112,0.77581,0.83006,0.67577,0.51217,0.81597,0.34807,0.87131,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,18233.2,0.47039,0.76187,0.34961,0.90659,0,0.94128,0.83366,0.90681,0.78307,0.90737,0.78085,0.83088,0.67551,0.51383,0.81498,0.34983,0.8733,0,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18385.6,0.46688,0.74911,0.34463,0.90312,0,0.93709,0.8325,0.90587,0.78316,0.9126,0.7734,0.82846,0.67487,0.51675,0.81452,0.3504,0.8762,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18538.6,0.46803,0.76283,0.34564,0.90461,0,0.93756,0.83357,0.90552,0.78343,0.91264,0.77749,0.83064,0.67635,0.51416,0.81606,0.34923,0.87549,0,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18691.4,0.41861,0.58616,0.27903,0.87619,0,0.9341,0.83385,0.90366,0.78195,0.91139,0.77421,0.82885,0.67503,0.51434,0.81954,0.35161,0.87504,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18838.9,0.41087,0.56919,0.27419,0.87118,0,0.93183,0.83593,0.90365,0.78321,0.90686,0.77874,0.83051,0.67535,0.51598,0.82645,0.35104,0.87522,0,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18986.9,0.41061,0.56966,0.27173,0.8713,0,0.93116,0.83537,0.90369,0.78311,0.90802,0.77543,0.82973,0.67552,0.51391,0.83375,0.34899,0.87386,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19134,0.4035,0.56733,0.26725,0.86745,0,0.93077,0.8342,0.90345,0.78365,0.90704,0.77692,0.83009,0.67547,0.51361,0.83837,0.34838,0.87444,0,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19283.8,0.40249,0.55152,0.26385,0.86826,0,0.92875,0.8377,0.90288,0.78349,0.90679,0.77457,0.82809,0.67547,0.51321,0.83931,0.34913,0.87514,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19432.2,0.39787,0.55325,0.2624,0.86492,0,0.93454,0.83411,0.90283,0.78268,0.90273,0.77582,0.8278,0.67547,0.51556,0.84304,0.34926,0.87738,0,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19581.3,0.39402,0.54492,0.25871,0.86274,0,0.93511,0.83519,0.90273,0.78272,0.90206,0.77869,0.82947,0.67636,0.51446,0.84322,0.34896,0.87684,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19731,0.39238,0.54061,0.25699,0.86294,0,0.94193,0.82903,0.90252,0.78288,0.90293,0.77798,0.8298,0.67664,0.51509,0.84849,0.34897,0.87784,0,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,19880,0.38929,0.54046,0.25372,0.86114,0,0.94376,0.82456,0.90214,0.78304,0.90412,0.77726,0.82924,0.67672,0.51548,0.84918,0.34988,0.87865,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20029.6,0.38425,0.54205,0.25176,0.86224,0,0.94458,0.82443,0.90184,0.78319,0.90548,0.77762,0.83015,0.67643,0.51577,0.85089,0.35096,0.87879,0,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
