epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,9657.19,0.41018,0.3842,0.30592,0.82957,0.76703,0.59473,0.69562,0.39891,0.76475,0.57948,0.67647,0.35196,1.57584,5.48222,1.64287,1.77047,0.0006536,0.0006536,0.0006536
70,9792,0.40919,0.38101,0.30046,0.81103,0.6913,0.64017,0.68912,0.40142,0.70883,0.59827,0.67196,0.35517,1.56888,5.45931,1.65532,1.76632,0.0006338,0.0006338,0.0006338
71,9930.53,0.40553,0.36161,0.2998,0.80243,0.70781,0.62717,0.68866,0.39766,0.78452,0.56297,0.67706,0.35333,1.582,5.56023,1.64713,1.7841,0.000614,0.000614,0.000614
72,10065.3,0.38795,0.34094,0.28901,0.79586,0.73142,0.61705,0.68296,0.3977,0.76993,0.57064,0.66996,0.35378,1.57852,5.71702,1.62875,1.78528,0.0005942,0.0005942,0.0005942
73,10203.9,0.40256,0.33863,0.29592,0.82673,0.72248,0.63295,0.69198,0.40388,0.77879,0.58671,0.68051,0.35466,1.56714,5.80877,1.67728,1.77669,0.0005744,0.0005744,0.0005744
74,10339.4,0.39013,0.32819,0.29353,0.81919,0.72461,0.62717,0.67753,0.39176,0.72127,0.60579,0.66893,0.34411,1.5701,5.88134,1.68923,1.7854,0.0005546,0.0005546,0.0005546
75,10477.5,0.37622,0.29597,0.2846,0.80875,0.71002,0.63584,0.68267,0.40217,0.72346,0.60549,0.67666,0.3523,1.57901,6.09523,1.6677,1.82635,0.0005348,0.0005348,0.0005348
76,10613.6,0.36206,0.28778,0.2719,0.7922,0.69105,0.65029,0.68573,0.39501,0.76301,0.58671,0.66925,0.34715,1.58093,6.26224,1.63201,1.83878,0.000515,0.000515,0.000515
77,10752.1,0.36221,0.28506,0.2755,0.80442,0.72031,0.61272,0.67603,0.39428,0.73598,0.58237,0.66151,0.34394,1.58185,6.36356,1.66046,1.82211,0.0004952,0.0004952,0.0004952
78,10887.4,0.34844,0.28654,0.26653,0.77307,0.70263,0.63873,0.68036,0.39743,0.68518,0.62903,0.66744,0.34624,1.55398,6.42413,1.69632,1.79945,0.0004754,0.0004754,0.0004754
79,11025.8,0.34725,0.28251,0.26715,0.78862,0.74436,0.60838,0.68114,0.39541,0.73769,0.60549,0.67416,0.35113,1.59033,6.28938,1.67291,1.82309,0.0004556,0.0004556,0.0004556
80,11160.7,0.3439,0.27633,0.26322,0.78643,0.75742,0.60694,0.68552,0.39898,0.74665,0.60549,0.67803,0.3549,1.5924,6.22769,1.67287,1.83719,0.0004358,0.0004358,0.0004358
81,11298.5,0.33942,0.2527,0.25874,0.78306,0.70514,0.64017,0.68553,0.39911,0.76558,0.58382,0.67034,0.35024,1.58191,6.46176,1.68892,1.83923,0.000416,0.000416,0.000416
82,11434.2,0.34286,0.25371,0.25714,0.80388,0.72682,0.63584,0.68847,0.3992,0.72386,0.62504,0.68108,0.35272,1.56806,6.43384,1.70633,1.82119,0.0003962,0.0003962,0.0003962
83,11573.4,0.33947,0.2532,0.25549,0.79819,0.70024,0.63728,0.68261,0.39733,0.69025,0.62717,0.67149,0.35256,1.57162,6.62464,1.72355,1.82274,0.0003764,0.0003764,0.0003764
84,11708.9,0.32106,0.24143,0.24612,0.78572,0.68228,0.64858,0.6821,0.40237,0.74808,0.5896,0.67231,0.35425,1.57946,6.65774,1.7134,1.82829,0.0003566,0.0003566,0.0003566
85,11847,0.31667,0.23011,0.24054,0.77131,0.71031,0.62717,0.68579,0.40366,0.70358,0.61705,0.67396,0.35487,1.59183,6.78358,1.68299,1.85883,0.0003368,0.0003368,0.0003368
86,11983.1,0.32355,0.22038,0.24753,0.79573,0.70971,0.63948,0.68929,0.40278,0.70002,0.61705,0.67081,0.35113,1.59053,6.93395,1.71064,1.87219,0.000317,0.000317,0.000317
87,12121.4,0.31614,0.21463,0.24374,0.77326,0.73409,0.63433,0.69179,0.4029,0.72369,0.60937,0.67214,0.35379,1.58162,7.13812,1.72555,1.86321,0.0002972,0.0002972,0.0002972
88,12257.7,0.3159,0.21023,0.24106,0.78902,0.71379,0.62717,0.68572,0.40212,0.72279,0.59531,0.66929,0.35624,1.56528,7.15409,1.76874,1.83861,0.0002774,0.0002774,0.0002774
89,12392.7,0.30167,0.20477,0.23426,0.77245,0.69068,0.65501,0.69058,0.40671,0.69845,0.6185,0.67493,0.3565,1.57882,7.35786,1.71999,1.86041,0.0002576,0.0002576,0.0002576
90,12527.9,0.3076,0.20296,0.23429,0.79347,0.69437,0.65334,0.69237,0.40556,0.74011,0.58849,0.67083,0.35431,1.57749,7.47692,1.71985,1.84941,0.0002378,0.0002378,0.0002378
91,12666.5,0.30012,0.20151,0.23487,0.78447,0.69555,0.64378,0.68347,0.40159,0.7163,0.60203,0.66644,0.35092,1.58654,7.561,1.73973,1.85688,0.000218,0.000218,0.000218
92,12801.9,0.28886,0.18395,0.22732,0.78213,0.71225,0.62954,0.6825,0.40147,0.72543,0.5956,0.67192,0.35585,1.55333,7.60853,1.77606,1.82896,0.0001982,0.0001982,0.0001982
93,12940.6,0.283,0.18653,0.22467,0.77173,0.73508,0.62283,0.68295,0.40051,0.72285,0.59971,0.66449,0.35191,1.56143,7.62024,1.75814,1.84252,0.0001784,0.0001784,0.0001784
94,13076.3,0.28097,0.18172,0.22239,0.77563,0.7331,0.62428,0.68398,0.40182,0.74288,0.60124,0.67165,0.35154,1.56001,7.63283,1.7686,1.83657,0.0001586,0.0001586,0.0001586
95,13213.8,0.27914,0.17417,0.22,0.76667,0.72448,0.61178,0.68235,0.40515,0.73112,0.59249,0.66473,0.35551,1.55682,7.86939,1.75379,1.83563,0.0001388,0.0001388,0.0001388
96,13349.5,0.27314,0.17079,0.21752,0.75676,0.7282,0.61948,0.6841,0.40427,0.7251,0.59827,0.66922,0.35479,1.56215,7.9554,1.76652,1.83354,0.000119,0.000119,0.000119
97,13488,0.26715,0.17151,0.2145,0.7645,0.71874,0.62861,0.68428,0.40408,0.73852,0.58526,0.66722,0.35318,1.54928,7.99026,1.76347,1.82292,9.92e-05,9.92e-05,9.92e-05
98,13623.8,0.2747,0.16763,0.21937,0.78223,0.70837,0.62861,0.68377,0.40281,0.75859,0.57659,0.67006,0.353,1.55733,8.14912,1.74999,1.84164,7.94e-05,7.94e-05,7.94e-05
99,13762.5,0.26786,0.16456,0.2163,0.77954,0.70488,0.63507,0.68376,0.40192,0.75583,0.58237,0.67327,0.35322,1.56011,8.15648,1.75676,1.84411,5.96e-05,5.96e-05,5.96e-05
100,13896.7,0.26845,0.16354,0.21567,0.76532,0.70313,0.63873,0.68545,0.40334,0.75365,0.57912,0.67448,0.35423,1.55701,8.23249,1.76304,1.84062,3.98e-05,3.98e-05,3.98e-05
