epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,901.254,0.70428,1.20834,0.56518,1.03907,0.87537,0.75964,0.81781,0.65507,0.88295,0.76221,0.82077,0.63862,0.68541,1.19326,0.60089,0.91561,0.0010298,0.0010298,0.0010298
51,918.8,0.6908,1.18234,0.55018,1.03342,0.88835,0.75677,0.83049,0.66507,0.90875,0.74936,0.82331,0.63462,0.70154,1.16176,0.58068,0.92603,0.00101,0.00101,0.00101
52,936.493,0.68298,1.20075,0.53579,1.03495,0.84813,0.77892,0.8179,0.65155,0.85694,0.76991,0.81756,0.64338,0.67546,1.14892,0.65847,0.90959,0.0009902,0.0009902,0.0009902
53,953.837,0.70402,1.19443,0.556,1.04116,0.88509,0.78214,0.84062,0.68031,0.89248,0.76821,0.83971,0.66248,0.66309,1.10519,0.5175,0.89705,0.0009704,0.0009704,0.0009704
54,971.788,0.67732,1.13805,0.5394,1.02753,0.8928,0.77249,0.83524,0.67455,0.89622,0.77121,0.83691,0.64771,0.65108,1.16546,0.53091,0.88653,0.0009506,0.0009506,0.0009506
55,989.425,0.68375,1.16908,0.52935,1.02737,0.87329,0.77959,0.82874,0.66651,0.88462,0.77635,0.83455,0.65237,0.69309,1.11143,0.5506,0.91487,0.0009308,0.0009308,0.0009308
56,1006.61,0.68565,1.17726,0.53214,1.0365,0.88594,0.78663,0.83584,0.67698,0.8825,0.77506,0.83561,0.66117,0.6415,1.1252,0.5215,0.89441,0.000911,0.000911,0.000911
57,1024.2,0.67132,1.17911,0.52885,1.02615,0.85727,0.78149,0.82566,0.6687,0.8606,0.78558,0.83595,0.64657,0.64425,1.13892,0.52222,0.88296,0.0008912,0.0008912,0.0008912
58,1041.89,0.68056,1.14226,0.53039,1.03021,0.84221,0.74807,0.8149,0.66009,0.84221,0.74807,0.81782,0.64244,0.67034,1.13723,0.57386,0.90186,0.0008714,0.0008714,0.0008714
59,1059.32,0.67433,1.18524,0.54666,1.04254,0.88555,0.76221,0.82867,0.67442,0.88894,0.76133,0.83256,0.651,0.6193,1.13216,0.52164,0.87596,0.0008516,0.0008516,0.0008516
60,1076.95,0.66478,1.14309,0.50545,1.02337,0.8599,0.76525,0.8302,0.66702,0.86226,0.76735,0.83319,0.65359,0.67363,1.12079,0.54398,0.89796,0.0008318,0.0008318,0.0008318
61,1094.5,0.68365,1.1434,0.53404,1.03152,0.88437,0.75707,0.83574,0.67439,0.89694,0.7455,0.83205,0.6487,0.65478,1.11398,0.53522,0.89559,0.000812,0.000812,0.000812
62,1112.3,0.66387,1.19556,0.52879,1.02558,0.8904,0.76735,0.83862,0.68495,0.89549,0.7599,0.83442,0.65582,0.62231,1.10828,0.49739,0.87011,0.0007922,0.0007922,0.0007922
63,1130.01,0.67561,1.16464,0.52374,1.02668,0.87263,0.76735,0.83309,0.67303,0.87657,0.76735,0.84023,0.65583,0.64501,1.12044,0.52446,0.87916,0.0007724,0.0007724,0.0007724
64,1148.01,0.66018,1.14562,0.51977,1.02182,0.87655,0.78488,0.8394,0.68604,0.88435,0.78627,0.84358,0.64882,0.62422,1.11932,0.5098,0.86605,0.0007526,0.0007526,0.0007526
65,1165.99,0.66517,1.13751,0.51772,1.01964,0.84987,0.764,0.83274,0.67928,0.89249,0.73779,0.83185,0.64628,0.65962,1.08973,0.55553,0.88481,0.0007328,0.0007328,0.0007328
66,1183.56,0.64929,1.08022,0.51137,1.01157,0.86461,0.77249,0.83485,0.6792,0.86427,0.76864,0.82977,0.65054,0.66172,1.13162,0.5374,0.89494,0.000713,0.000713,0.000713
67,1201.53,0.64669,1.1134,0.50532,1.02554,0.87507,0.7892,0.84223,0.68164,0.8771,0.7797,0.83795,0.6661,0.64587,1.08792,0.51192,0.87692,0.0006932,0.0006932,0.0006932
68,1219.58,0.658,1.11482,0.50964,1.02176,0.88586,0.75835,0.83094,0.67472,0.88389,0.76323,0.83587,0.65662,0.64955,1.0927,0.54506,0.89259,0.0006734,0.0006734,0.0006734
69,1237.12,0.63838,1.10666,0.52372,1.0096,0.90209,0.75796,0.83003,0.68145,0.91666,0.76221,0.83817,0.65468,0.64729,1.11713,0.52269,0.89453,0.0006536,0.0006536,0.0006536
70,1255.04,0.63871,1.08295,0.49028,1.00765,0.84758,0.77192,0.83709,0.68359,0.92416,0.72049,0.83698,0.65892,0.65015,1.10937,0.49724,0.88675,0.0006338,0.0006338,0.0006338
71,1272.55,0.65387,1.11025,0.4994,1.00246,0.88265,0.79273,0.84456,0.69528,0.88315,0.78686,0.84675,0.6663,0.62059,1.10135,0.49558,0.87446,0.000614,0.000614,0.000614
72,1290.93,0.65755,1.12293,0.51162,1.02099,0.85895,0.78278,0.83794,0.6888,0.8732,0.77896,0.84231,0.6687,0.6326,1.09543,0.50405,0.87694,0.0005942,0.0005942,0.0005942
73,1308.69,0.62995,1.08661,0.49991,1.00233,0.86292,0.77892,0.83342,0.68383,0.85301,0.79066,0.84174,0.66166,0.6198,1.10223,0.50132,0.86732,0.0005744,0.0005744,0.0005744
74,1325.44,0.66079,1.09715,0.49771,1.01588,0.89176,0.75185,0.83432,0.68004,0.87134,0.75735,0.83969,0.66497,0.62771,1.11794,0.49164,0.86442,0.0005546,0.0005546,0.0005546
75,1342.36,0.64275,1.09187,0.49497,1.01596,0.89572,0.7839,0.84042,0.68887,0.89567,0.78343,0.84615,0.65962,0.62077,1.12779,0.48978,0.87367,0.0005348,0.0005348,0.0005348
76,1359.37,0.6222,1.05887,0.48636,1.00217,0.86976,0.76395,0.83622,0.6797,0.87122,0.76524,0.83684,0.66126,0.61363,1.10055,0.49355,0.86303,0.000515,0.000515,0.000515
77,1377.02,0.63094,1.09253,0.48253,1.00543,0.88869,0.76967,0.84443,0.6923,0.8899,0.76882,0.84574,0.6638,0.62285,1.11552,0.48995,0.86597,0.0004952,0.0004952,0.0004952
78,1394.32,0.64653,1.11423,0.49623,1.00599,0.89226,0.76992,0.83516,0.68929,0.89523,0.77249,0.8454,0.65998,0.62594,1.10204,0.49756,0.87674,0.0004754,0.0004754,0.0004754
79,1412.07,0.61018,1.04026,0.46859,0.99224,0.87854,0.77763,0.83794,0.696,0.87623,0.77635,0.84454,0.66984,0.58772,1.07103,0.47812,0.84018,0.0004556,0.0004556,0.0004556
